image,phrase1,phrase2,original_phrase1,original_phrase2,ytrue,roi1,roi2,preprocessed_phrase1,preprocessed_phrase2,original_label,type_label
4479282254,little+baby,child,a little baby,A child,True,110,110,little baby,child,Alternation,0
4479282254,little+baby,small+child,a little baby,A small child,True,110,110,little baby,small child,Alternation,0
3252457866,grass,grass+track,the grass,grass track,True,8,8,grass,grass track,Entailment1,1
299309703,newborn+baby,child,her newborn baby,A child,True,192,192,newborn baby,child,Alternation,0
299309703,baby,infant,a baby,a infant,True,192,192,baby,infant,Entailment1,1
299309703,baby,child,a baby,A child,True,192,192,baby,child,Alternation,0
299309703,infant,baby,a infant,a baby,True,192,192,infant,baby,Entailment1,1
459804826,little+boy,little+blond-hair+boy,A little boy,Little blond-hair boy,True,168,168,little boy,little blond-hair boy,Entailment1,1
4458486019,yellow+'+nyc+taxi,taxi,A yellow ' NYC Taxi,a taxi,True,160,160,yellow ' nyc taxi,taxi,Entailment1,1
3056595980,three+adults,three+women,Three adults,Three women,True,108,108,three adults,three women,Entailment1,1
4421766226,indoor+fenced+dirt,arena,an indoor fenced dirt,an arena,True,5,5,indoor fenced dirt,arena,Independence,4
4421766226,woman,women,A woman,Women,True,198,198,woman,women,Equivalence,3
4421766226,woman,women,Woman,Women,True,198,198,woman,women,Equivalence,3
3041779850,three+boys,small+boys,Three boys,Small boys,True,21,21,three boys,small boys,Independence,4
3041779850,three+boys,young+boys,Three boys,Young boys,True,21,21,three boys,young boys,Independence,4
3041779850,small+boys,little+school+boys,Small boys,little school boys,True,21,21,small boys,little school boys,Entailment1,1
2601612082,raft,inflatable+raft,raft,an inflatable raft,True,104,104,raft,inflatable raft,Entailment1,1
2601612082,raft,inflatable+raft,a raft,an inflatable raft,True,104,104,raft,inflatable raft,Entailment1,1
3381038951,woman,girl,A woman,The girl,True,10,10,woman,girl,Alternation,0
3381038951,woman,women,A woman,Women,True,10,10,woman,women,Equivalence,3
3381038951,girl,woman,The girl,A woman,True,10,10,girl,woman,Alternation,0
3381038951,girl,women,The girl,Women,True,10,10,girl,women,Alternation,0
3439064881,group+people,people,A group of people,People,True,14,14,group people,people,Entailment1,1
4189561305,soldiers,police,soldiers,police,True,95,95,soldiers,police,Alternation,0
3284899112,man,eldery+couple,A man,Eldery couple,True,-1,-1,man,eldery couple,Alternation,0
3284899112,man,old+man,A man,Old man,True,-1,-1,man,old man,Entailment1,1
3284899112,eldery+couple,man,Eldery couple,A man,True,-1,-1,eldery couple,man,Alternation,0
2980958891,two+teenage+boys,two+young+men,Two teenage boys,Two young men,True,98,98,two teenage boys,two young men,Alternation,0
2980958891,two+friends,two+teens,Two friends,Two teens,True,98,98,two friends,two teens,Independence,4
1273001772,group+children,children,A group of children,Children,True,21,21,group children,children,Entailment1,1
3662061499,creek,middle+river,creek,the middle of a river,True,21,21,creek,middle river,Independence,4
3662061499,hiking+canes,two+hiking+poles,hiking canes,two hiking poles,True,-1,-1,hiking canes,two hiking poles,Entailment1,1
3662061499,hiking+canes,stilts,hiking canes,stilts,True,-1,-1,hiking canes,stilts,Alternation,0
3662061499,middle+river,creek,the middle of a river,a creek,True,21,21,middle river,creek,Independence,4
3662061499,two+poles,two+hiking+poles,two poles,two hiking poles,True,-1,-1,two poles,two hiking poles,Entailment1,1
3626689571,man,tall+man,The man,Tall man,True,183,183,man,tall man,Entailment1,1
3626689571,man,tall+man,A man,Tall man,True,183,183,man,tall man,Entailment1,1
3626325621,blue,flannel+shirt,blue,a flannel shirt,True,150,150,blue,flannel shirt,Independence,4
3626325621,"part+large+,+hollow+,+tree+trunk",hollow+tree,"part of a large , hollow , tree trunk",a hollow tree,True,0,0,"part large , hollow , tree trunk",hollow tree,Entailment1,1
3626325621,"part+large+,+hollow+,+tree+trunk",tree,"part of a large , hollow , tree trunk",a tree,True,0,0,"part large , hollow , tree trunk",tree,Entailment1,1
4672474238,several+people,crowd+people,Several people,A crowd of people,True,54,54,several people,crowd people,Entailment1,1
3214910526,man,garbage+man,A man,A garbage man,True,-1,-1,man,garbage man,Entailment1,1
3214910526,garbage+man,man,A garbage man,A man,True,-1,-1,garbage man,man,Entailment1,1
122189647,several+man,city+workers,Several man,city workers,True,189,189,several man,city workers,Independence,4
5822092748,color+blue,house+blue,the color blue,a house blue,True,15,15,color blue,house blue,Alternation,0
3332642370,colorful+mural,bright+colorful+mural,a colorful mural,a bright colorful mural,True,2,2,colorful mural,bright colorful mural,Entailment1,1
6060344876,man,person,A man,A person,True,176,176,man,person,Entailment1,1
6060344876,person,man,A person,A man,True,176,176,person,man,Entailment1,1
2707873672,two+redheaded+boys,two+boys,Two redheaded boys,Two boys,True,155,155,two redheaded boys,two boys,Entailment1,1
4464425799,bike,strange+wheeled+cart,a bike,a strange wheeled cart,True,193,193,bike,strange wheeled cart,Alternation,0
3565917449,asian+man,man,Asian man,A man,True,144,-1,asian man,man,Entailment1,1
3565917449,man,asian+man,A man,An asian man,True,-1,144,man,asian man,Entailment1,1
3565917449,man,asian+man,A man,Asian man,True,-1,144,man,asian man,Entailment1,1
3565917449,asian+man,man,An asian man,A man,True,144,-1,asian man,man,Entailment1,1
5690859699,moving+walkway,motorized+floor,a moving walkway,a motorized floor,True,37,37,moving walkway,motorized floor,Entailment1,1
5690859699,stacked+row+grocery+shopping+carts,carts,a stacked row of grocery shopping carts,some carts,True,164,164,stacked row grocery shopping carts,some carts,Entailment1,1
1718184338,body+water,water,the body of water,the water,True,8,8,body water,water,Entailment1,1
5534793306,man,person,A man,A person,True,160,160,man,person,Entailment1,1
3665987581,small+tan+dog,dog,a small tan dog,A dog,True,166,166,small tan dog,dog,Entailment1,1
387466573,man,bicyclist,A man,A bicyclist,True,-1,-1,man,bicyclist,Independence,4
868984478,outdoor+swing,rustic+looking+swing,an outdoor swing,a rustic looking swing,True,80,80,outdoor swing,rustic looking swing,Independence,4
868984478,outdoor+swing,rope,an outdoor swing,a rope,True,80,80,outdoor swing,rope,Independence,4
868984478,outdoor+swing,plank+swing,an outdoor swing,plank swing,True,80,80,outdoor swing,plank swing,Entailment1,1
868984478,young+woman,happy+girl,A young woman,A happy girl,True,53,53,young woman,happy girl,Alternation,0
868984478,young+woman,happy+girl,a young woman,A happy girl,True,53,53,young woman,happy girl,Alternation,0
868984478,young+smiling+woman,happy+girl,A young smiling woman,A happy girl,True,53,53,young smiling woman,happy girl,Alternation,0
7249185350,black+suits,black+wetsuits,black suits,black wetsuits,True,139,139,black suits,black wetsuits,Alternation,0
7249185350,red+white+tape,start+line,a red and white tape,a start line,True,-1,-1,red white tape,start line,Independence,4
7249185350,yellow+swim+caps,yellow+caps,yellow swim caps,yellow caps,True,193,193,yellow swim caps,yellow caps,Entailment1,1
7249185350,black+suits,wetsuits,black suits,wetsuits,True,139,139,black suits,wetsuits,Independence,4
7249185350,black+wetsuits,black+bodysuits,black wetsuits,black bodysuits,True,139,139,black wetsuits,black bodysuits,Entailment1,1
7249185350,start+line,ribbon,a start line,a ribbon,True,-1,-1,start line,ribbon,Independence,4
461784003,pile+rocks,pile+large+rocks,a pile of rocks,a pile of large rocks,True,116,116,pile rocks,pile large rocks,Entailment1,1
2354834216,man,band,A man,a band,True,199,199,man,band,Alternation,0
2354834216,band,man,a band,A man,True,199,199,band,man,Alternation,0
4593649681,group+seven+women,group+bridesmaids,A group of seven women,A group of bridesmaids,True,56,56,group seven women,group bridesmaids,Independence,4
2884301336,blue+baby+pool,small+pool,a blue baby pool,a small pool,True,27,27,blue baby pool,small pool,Entailment1,1
7136105537,media,microphones,media,microphones,True,-1,-1,media,microphones,Alternation,0
7136105537,microphones,media,microphones,the media,True,-1,-1,microphones,media,Alternation,0
7186836768,soccer,ball,soccer,ball,True,2,2,soccer,ball,Entailment1,1
7186836768,young+men,two+boys,Young men,Two boys,True,118,118,young men,two boys,Alternation,0
7186836768,soccer,game,soccer,a game,True,2,2,soccer,game,Entailment1,1
2423042595,people,group+people,people,a group of people,True,184,184,people,group people,Entailment1,1
2423042595,guitars,acoustic+guitar,their guitars,acoustic guitar,True,74,74,guitars,acoustic guitar,Entailment1,1
2423042595,group+people,people,a group of people,People,True,184,184,group people,people,Entailment1,1
2423042595,guitars,acoustic+guitar,guitars,acoustic guitar,True,74,74,guitars,acoustic guitar,Entailment1,1
52989402,group+people,people,A group of people,People,True,66,66,group people,people,Entailment1,1
1798215547,little+boy,boy,A little boy,A boy,True,53,53,little boy,boy,Entailment1,1
3705470430,girl,woman,A girl,woman,True,195,195,girl,woman,Alternation,0
3705470430,girl,woman,A girl,the woman,True,195,195,girl,woman,Alternation,0
3705470430,girl,woman,A girl,A woman,True,195,195,girl,woman,Alternation,0
3878630626,lady,someone,a lady,someone,True,159,159,lady,someone,Entailment1,1
2326666568,seven+people,family,Seven people,A family,True,131,131,seven people,family,Independence,4
4898264862,three+little+boys,three+young+boys,three little boys,three young boys,True,68,68,three little boys,three young boys,Equivalence,3
7714755346,man,teen,A man,A teen,True,94,94,man,teen,Independence,4
3126752627,two+basketball+players,two+men,Two basketball players,Two men,True,151,151,two basketball players,two men,Independence,4
202436011,six+children,people,Six children,People,True,43,43,six children,people,Entailment1,1
202436011,park,grassy+area,park,a grassy area,True,84,84,park,grassy area,Independence,4
8141029294,woman,girl,A woman,A girl,True,196,196,woman,girl,Alternation,0
8141029294,girl,woman,A girl,A woman,True,196,196,girl,woman,Alternation,0
40267450,street,city+street,the street,a city street,True,137,137,street,city street,Entailment1,1
4330138788,orange+black,black+orange,orange and black,black and orange,True,84,84,orange black,black orange,Equivalence,3
4330138788,group+people,group,Group of people,A group,True,169,169,group people,group,Entailment1,1
4330138788,band,group,their band,A group,True,169,169,band,group,Entailment1,1
4925906360,four+young+children,four+boys,Four young children,Four boys,True,133,133,four young children,four boys,Independence,4
2561481438,dark+dog,black+dog,A dark dog,A black dog,True,0,0,dark dog,black dog,Entailment1,1
2561481438,black+dog,dog,A black dog,A dog,True,0,0,black dog,dog,Entailment1,1
2446783262,girl,barefoot+woman,A girl,a barefoot woman,True,155,155,girl,barefoot woman,Alternation,0
2446783262,girl,woman,A girl,A woman,True,155,155,girl,woman,Alternation,0
4962648530,dark-haired+girl,"young+,+pregnant+woman",A dark-haired girl,"A young , pregnant woman",True,5,5,dark-haired girl,"young , pregnant woman",Alternation,0
4962648530,dark-haired+girl,woman+waitress,A dark-haired girl,Woman waitress,True,5,5,dark-haired girl,woman waitress,Alternation,0
4962648530,female,"young+,+pregnant+woman",A female,"A young , pregnant woman",True,5,5,female,"young , pregnant woman",Entailment1,1
4962648530,"young+,+pregnant+woman",nice+looking+lady,"A young , pregnant woman",A nice looking lady,True,5,5,"young , pregnant woman",nice looking lady,Independence,4
5392145976,woman+rollerblader,young+female,A woman rollerblader,A young female,True,75,75,woman rollerblader,young female,Independence,4
5392145976,female+roller+derby+participant,young+female,A female roller derby participant,A young female,True,75,75,female roller derby participant,young female,Independence,4
1245022983,child,girl,A child,The girl,True,148,148,child,girl,Entailment1,1
7057696291,adult,person,An adult,A person,True,18,18,adult,person,Entailment1,1
4915394257,two+women,girls,Two women,These girls,True,100,100,two women,girls,Alternation,0
4915394257,two+women,two+girls,Two women,Two girls,True,100,100,two women,two girls,Alternation,0
4915394257,two+young+women,girls,Two young women,These girls,True,100,100,two young women,girls,Alternation,0
4915394257,two+young+women,two+girls,Two young women,Two girls,True,100,100,two young women,two girls,Alternation,0
2992999413,amish+looking+people,group+amish+people,Amish looking people,A group of Amish people,True,189,189,amish looking people,group amish people,Equivalence,3
2936707421,young+boy,little+kid,A young boy,The little kid,True,127,127,young boy,little kid,Entailment1,1
2936707421,blue+soccer+ball,ball,a blue soccer ball,a ball,True,56,56,blue soccer ball,ball,Entailment1,1
2936707421,little+kid,child+soccer+player,The little kid,A child soccer player,True,127,127,little kid,child soccer player,Entailment1,1
3021028400,instrument,violin,an instrument,the violin,True,183,183,instrument,violin,Entailment1,1
3021028400,man,boy,Man,A boy,True,106,106,man,boy,Alternation,0
3021028400,cello,violin,the cello,the violin,True,183,183,cello,violin,Alternation,0
3021028400,young+man,boy,Young man,A boy,True,106,106,young man,boy,Alternation,0
3021028400,young+man,boy,A young man,A boy,True,106,106,young man,boy,Alternation,0
3021028400,violin,cello,the violin,a cello,True,183,183,violin,cello,Alternation,0
2381583688,wildly+decorated+knit+cap,warm+hat,a wildly decorated knit cap,a warm hat,True,87,87,wildly decorated knit cap,warm hat,Independence,4
3367200598,ball,baseball,a ball,a baseball,True,-1,-1,ball,baseball,Entailment1,1
3367200598,baseball,ball,a baseball,the ball,True,-1,-1,baseball,ball,Entailment1,1
2831394884,father,dad,A father,A dad,True,4,4,father,dad,Equivalence,3
2561310673,group+men,five+men,A group of men,Five men,True,130,130,group men,five men,Entailment1,1
3547600292,black+yellow+bird,black+bird,A black and yellow bird,A black bird,True,83,83,black yellow bird,black bird,Entailment1,1
3547600292,green+grass,grassy+field,green grass,a grassy field,True,-1,-1,green grass,grassy field,Independence,4
3547600292,brown+bird,black+orange+bird,A brown bird,A black and orange bird,True,83,83,brown bird,black orange bird,Alternation,0
3547600292,brown+bird,bird,A brown bird,A bird,True,83,83,brown bird,bird,Entailment1,1
4604145026,white+woman,girl,A white woman,A girl,True,75,75,white woman,girl,Alternation,0
4604145026,street,sidewalk,the street,a sidewalk,True,41,41,street,sidewalk,Alternation,0
4604145026,woman,girl,A woman,A girl,True,75,75,woman,girl,Alternation,0
4604145026,girl,woman,A girl,A woman,True,75,75,girl,woman,Alternation,0
4604145026,sidewalk,street,a sidewalk,the street,True,41,41,sidewalk,street,Alternation,0
4604145026,girl,young+woman,A girl,A young woman,True,75,75,girl,young woman,Alternation,0
2778832101,man,person,A man,A person,True,-1,-1,man,person,Entailment1,1
2778832101,person,man,A person,A man,True,-1,-1,person,man,Entailment1,1
2566149779,woman,women,A woman,Women,True,166,166,woman,women,Equivalence,3
2566149779,women,woman,Women,A woman,True,166,166,women,woman,Equivalence,3
3282832381,small+child,toddler,A small child,A toddler,True,119,119,small child,toddler,Alternation,0
3282832381,young+child,toddler,A young child,A toddler,True,119,119,young child,toddler,Alternation,0
3282832381,texas+&+m+jersey,texas+t-shirt,a Texas A & M jersey,Texas t-shirt,True,98,98,texas & jersey,texas t-shirt,Alternation,0
5821129557,orange+yellow+stars,yellow+stars,orange and yellow stars,yellow stars,True,-1,-1,orange yellow stars,yellow stars,Entailment1,1
5821129557,boy,little+boy,a boy,A little boy,True,138,138,boy,little boy,Entailment1,1
5615711650,two+girls,two+traveling+women,Two girls,Two traveling women,True,19,19,two girls,two traveling women,Alternation,0
5615711650,two+girls,two+women,Two girls,Two women,True,19,19,two girls,two women,Alternation,0
5866079837,cup,fruit+cups,a cup,fruit cups,True,-1,-1,cup,fruit cups,Entailment1,1
6602912215,crowd+people,crowd,A crowd of people,A crowd,True,48,48,crowd people,crowd,Equivalence,3
6602912215,crowd+people,crowd,A crowd of people,a crowd,True,48,48,crowd people,crowd,Equivalence,3
4447268988,cement+steps,steps,cement steps,the steps,True,24,24,cement steps,steps,Entailment1,1
7924790118,athletes,several+men,Athletes,Several men,True,121,121,athletes,several men,Independence,4
6618942119,fowl,raw+chicken,a fowl,a raw chicken,True,181,181,fowl,raw chicken,Entailment1,1
4794459769,bright+clothing,traditional+mexican+clothing,bright clothing,traditional Mexican clothing,True,-1,-1,bright clothing,traditional mexican clothing,Independence,4
7062856245,two+white+male+hipsters,two+boys,Two white male hipsters,Two boys,True,56,56,two white male hipsters,two boys,Independence,4
7062856245,two+young+men,two+boys,Two young men,Two boys,True,56,56,two young men,two boys,Alternation,0
7062856245,men,two+boys,The men,Two boys,True,56,56,men,two boys,Alternation,0
50162920,different+colored+balloon,colored+lanterns,different colored balloon,colored lanterns,True,52,52,different colored balloon,colored lanterns,Alternation,0
2899550625,lawn+chairs,deck+chairs,lawn chairs,deck chairs,True,43,43,lawn chairs,deck chairs,Independence,4
2899550625,lawn+chairs,folding+chairs,lawn chairs,folding chairs,True,43,43,lawn chairs,folding chairs,Independence,4
2899550625,all,construction+workers,all,Construction workers,True,17,17,all,construction workers,Entailment1,1
4434577985,man,old+man,one man,An old man,True,8,8,one man,old man,Entailment1,1
4434577985,photo,picture,a photo,a picture,True,165,165,photo,picture,Equivalence,3
4434577985,man,old+man,one man,Old man,True,8,8,one man,old man,Entailment1,1
4434577985,man,old+man,one man,old man,True,8,8,one man,old man,Entailment1,1
4434577985,picture,photo,a picture,a photo,True,165,165,picture,photo,Equivalence,3
3715669736,red+shirt,red,a red shirt,red,True,-1,-1,red shirt,red,Independence,4
3715669736,two+girls,two+woman,Two girls,Two woman,True,93,93,two girls,two woman,Alternation,0
3715669736,two+girls,two+women,Two girls,Two women,True,93,93,two girls,two women,Alternation,0
3715669736,two+woman,two+women,Two woman,Two women,True,93,93,two woman,two women,Equivalence,3
4838853770,utility+knife,knife,a utility knife,a knife,True,-1,-1,utility knife,knife,Entailment1,1
5605455443,two+martial+arts+opponents,young+man,as two martial arts opponents,a young man,True,7,7,two martial arts opponents,young man,Alternation,0
5605455443,two+men,two+wrestlers,Two men,Two wrestlers,True,7,7,two men,two wrestlers,Independence,4
3661072592,little+brunette+girl,small+girl,A little brunette girl,Small girl,True,14,14,little brunette girl,small girl,Entailment1,1
3661072592,little+brunette+girl,small+girl,A little brunette girl,A small girl,True,14,14,little brunette girl,small girl,Entailment1,1
4653320750,bearded+man,older+man,Bearded man,An older man,True,197,197,bearded man,older man,Independence,4
4653320750,older+man,homeless+man,An older man,A homeless man,True,197,197,older man,homeless man,Independence,4
3275537015,girls,four+women,Girls,Four women,True,113,113,girls,four women,Alternation,0
3275537015,four+girls,four+women,Four girls,Four women,True,113,113,four girls,four women,Alternation,0
2178985121,boy,little+boy,A boy,A little boy,True,197,197,boy,little boy,Entailment1,1
3699725758,tourist,people,Tourist,People,True,182,182,tourist,people,Entailment1,1
3699725758,group+people,people,A group of people,People,True,182,182,group people,people,Entailment1,1
3661239105,small+blond+boy,little+boy,A small blond boy,A little boy,True,120,120,small blond boy,little boy,Entailment1,1
3661239105,little+boy,boy,A little boy,A boy,True,120,120,little boy,boy,Entailment1,1
2924305507,athlete,man,An athlete,A man,True,197,197,athlete,man,Independence,4
2924305507,front+shirt,blue+shirt,the front of his shirt,blue shirt,True,-1,-1,front shirt,blue shirt,Independence,4
2924305507,man,runner,A man,A runner,True,197,197,man,runner,Independence,4
916624251,street,old+cobblestone+street,the street,an old cobblestone street,True,33,33,street,old cobblestone street,Entailment1,1
916624251,street,city+street,the street,a city street,True,33,33,street,city street,Entailment1,1
6973153854,two+girls,young+women,Two girls,Young women,True,139,139,two girls,young women,Alternation,0
6973153854,woman,women,a woman,women,True,-1,-1,woman,women,Equivalence,3
2537611154,beam,steel+beam,an I beam,a steel beam,True,-1,-1,beam,steel beam,Entailment1,1
5214344526,crowd+hungry+customers,customers,a crowd of hungry customers,his customers,True,183,183,crowd hungry customers,customers,Entailment1,1
6848901185,gray+vest,vest,gray vest,vest,True,199,199,gray vest,vest,Entailment1,1
4844407687,toddler,young+child,A toddler,A young child,True,192,192,toddler,young child,Alternation,0
4844407687,toddler,child,A toddler,A child,True,192,192,toddler,child,Alternation,0
2642474867,long-haired+woman,blond+caucasian+woman,A long-haired woman,A blond Caucasian woman,True,127,127,long-haired woman,blond caucasian woman,Independence,4
4564451257,man,asian+man,A man,An Asian man,True,185,-1,man,asian man,Entailment1,1
4564451257,orange+top,orange+jacket,an orange top,an orange jacket,True,-1,-1,orange top,orange jacket,Alternation,0
4564451257,asian+man,man,An Asian man,A man,True,-1,185,asian man,man,Entailment1,1
4564451257,asian+man,man,An Asian man,Man,True,-1,185,asian man,man,Entailment1,1
3759993037,group+people,people,A group of people,People,True,194,194,group people,people,Entailment1,1
4921874968,lone+bike+rider,man,A lone bike rider,A man,True,198,198,lone bike rider,man,Independence,4
4921874968,person,man,A person,A man,True,198,198,person,man,Entailment1,1
4921874968,athlete,man,An athlete,A man,True,198,198,athlete,man,Independence,4
7827645972,gorgeous+field,wheat+field,a gorgeous field,a wheat field,True,4,4,gorgeous field,wheat field,Independence,4
7827645972,girl,child,A girl,a child,True,75,75,girl,child,Entailment1,1
7827645972,child,girl,a child,Girl,True,75,75,child,girl,Entailment1,1
